NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
210053270998,2021,10,M,1,1,1,1,7,1,,0,,,,,,,,2927408,Salvador,29,BA,1,1,1,1,911.0,880.0,890.0,902.0,430.6,426.7,496.6,431.5,DCEEABADBEACBEADCCAEAEECDBACDBBCDDDBADEBBEBCE,DBECAADEABDACADDAAAEECCEDACBDAADBEEAEADDBEABD,DACBE99999BCBAADAAEDCBECDDCDAAEADEBBCEDABAEBBACDBB,AEAACDBACDAACBCDADADBECABDBEC*EDCCCAACDBCBEAC,0,CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB,BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC,ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD,ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA,1.0,100.0,120.0,100.0,120.0,100.0,540.0,E,E,C,B,3.0,B,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A
210051914571,2021,5,M,3,3,1,1,2,1,,0,,,,,,,,2914703,Itaberaba,29,BA,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,E,E,D,D,4.0,E,A,C,D,B,B,B,B,B,A,B,A,A,C,A,A,E,A,B,B
210053592727,2021,10,F,1,3,1,1,7,1,,0,,,,,,,,2928208,Santana,29,BA,1,1,1,1,912.0,882.0,891.0,901.0,572.3,653.4,577.8,528.0,DABCEDABECCCBADAEDECADECBAEAADEBCDBACEDBEEA.D,ECAAEADBEAAABBBCECAAAEEEBBADCDADBCEEDEBBCCACB,99999DCAEEDCAAEAADAACEEABBCAEBAADBEBBABDEBDACEBBEE,BD*EEADCCCDDCCACCDEEDDADBCACECDECCBBBBCDEBBAE,1,DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB,EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB,ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB,DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE,1.0,120.0,200.0,160.0,140.0,120.0,740.0,E,G,B,D,3.0,F,A,B,D,A,A,B,B,A,A,A,A,A,B,A,A,D,A,B,B
210051819501,2021,5,M,1,3,1,2,0,2,1.0,0,2910800.0,Feira de Santana,29.0,BA,2.0,1.0,1.0,2910800,Feira de Santana,29,BA,1,1,1,1,912.0,882.0,891.0,901.0,485.7,425.9,441.2,480.8,BABBCBDAECEABBACEBBABEEDEACCADCEDBCBCBCDCDCCC,ABDCAEEDECBACBBDAEEABCAABBCECDCAAEBAECBACABBD,AAAAB99999DDEABCDCBDDABEDCADCDDEABEDDCBBDDDAAEBBDE,ECADBEDCAEDEBDAEBBADCDAEEDBBDCDAABAECBDBEEBCC,0,DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB,EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB,ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB,DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE,4.0,0.0,0.0,0.0,0.0,0.0,0.0,B,E,B,B,5.0,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,B
210052271642,2021,2,F,1,1,1,3,0,1,,1,,,,,,,,2916401,Itapetinga,29,BA,1,1,1,1,911.0,880.0,890.0,902.0,443.9,518.8,490.4,477.7,CDCBCEADBEDECEBACCDBEDEDACBACBEBCDACABCDBECEB,DBDBACAABDBBCACBA.AEAEDBBCCECDADABAADCEBBBDEC,CBAAA99999DAAACBCECCDCCAEEDEAACADEDADCECBADACAEDAA,DCADCDBBCEBCDDAEDDBECCBECEACBCECEABACEBEAADBC,0,CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB,BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC,ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD,ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA,1.0,120.0,180.0,120.0,160.0,140.0,720.0,C,E,C,B,4.0,B,A,B,D,B,A,B,B,B,A,A,A,A,C,A,A,D,A,A,B
210051334162,2021,3,F,1,2,2,2,0,2,1.0,0,,,,,,,,2918209,Jiquiriçá,29,BA,1,1,1,1,911.0,880.0,890.0,902.0,461.9,498.8,475.6,504.8,CDBBCEBCDAECBEECBDBDCAACCDAAAAADECDBBDABBCEDA,BABBABEEBBABBAEBADBCAECEAAAABCDADBAAAACADBACA,99999AEACABAAAADBAADCCEABBDDCBEAEEEDCEEABEABDBCCAB,CACCAADCDEECADBBADCBAAEEADECBCDAEECAAABEAAAAA,1,CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB,BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC,ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD,ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA,1.0,100.0,180.0,120.0,160.0,120.0,680.0,B,C,A,A,4.0,B,A,B,D,A,B,B,A,A,A,A,A,A,B,A,A,C,A,A,B
210054090746,2021,3,M,1,2,1,2,0,2,1.0,0,2927408.0,Salvador,29.0,BA,2.0,1.0,1.0,2927408,Salvador,29,BA,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,D,E,F,B,3.0,C,A,B,C,A,A,B,A,A,A,B,A,A,B,A,B,D,A,A,B
210051018671,2021,7,F,1,3,1,1,3,1,,0,,,,,,,,2927408,Salvador,29,BA,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,C,E,B,B,3.0,C,A,B,D,A,A,B,B,B,B,B,A,A,B,A,A,E,A,B,B
210052350881,2021,5,F,1,3,1,2,0,2,1.0,0,2927408.0,Salvador,29.0,BA,2.0,1.0,1.0,2927408,Salvador,29,BA,1,1,1,1,912.0,882.0,891.0,901.0,493.5,447.2,510.7,398.1,DACDAAEAECDDEEBEDBECDEACDBAEBEEBEDAACCADBCDED,EDABDAEDEABADEACACBCAEBDABECADCECACDCBAAADCCB,EDBAC99999DBECBCBCACDDEADBBCEADDDECAAACADDAECDBADE,EDBABABDCEEECDACAEAEDEEEACDDEDBCCEDCCABDDBABE,0,DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB,EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB,ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB,DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,H,D,B,D,4.0,D,A,C,D,A,A,B,B,B,A,B,A,B,C,A,A,E,A,A,B
210051588838,2021,3,M,1,1,1,2,0,3,1.0,0,2919207.0,Lauro de Freitas,29.0,BA,4.0,1.0,1.0,2927408,Salvador,29,BA,1,1,1,1,911.0,880.0,890.0,902.0,671.5,670.7,555.1,719.8,CDCDDDADEBEDEBAEBACCBDDABDDCCCBAECDADCDBDEBCA,BBBAABEABBABEECEDADAAEBAACAECDEDBEBBBABDCBADC,ABBBA99999CDEABCDACABBEEDADBAADADEBBDCEEDBDEEBCDBA,DACCEDBDCEDDABDDCBBBEAEBDCCDDDDCCAECBDBCBDCEA,0,CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB,BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC,ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD,ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA,1.0,160.0,180.0,140.0,180.0,160.0,820.0,G,C,E,F,5.0,Q,D,E,E,C,A,B,B,B,A,B,B,B,E,A,B,E,A,E,B
210052314230,2021,8,F,1,3,1,1,5,1,,0,,,,,,,,2907509,Catu,29,BA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,F,D,A,4.0,D,A,B,C,B,B,B,A,B,A,B,A,A,B,A,A,D,A,B,B
210051923564,2021,4,M,1,1,1,2,0,2,1.0,0,,,,,,,,2930105,Senhor do Bonfim,29,BA,1,1,1,1,912.0,882.0,891.0,901.0,448.1,482.9,532.8,419.2,DCCCABDBEDBEDCACABEDBDACEACDDEBADBCBBBDECACDE,CABADBCDEACAADBCEBBDBADCABACBEADBAABBEDABDCEB,ACAEC99999DCEAECBDADDEEDBACDCBDBBDEBDABCDDEEABDCEA,BDBCEDBEDBCDDBABBCAAEADCCDBABDBBAEBDEACBDDECA,0,DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB,EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB,ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB,DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE,1.0,100.0,120.0,100.0,140.0,100.0,560.0,E,C,D,B,3.0,G,A,B,C,B,A,B,B,B,B,A,A,A,B,A,A,C,A,A,B
210052563255,2021,8,F,1,3,1,1,3,1,,0,,,,,,,,2910503,Entre Rios,29,BA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,H,D,F,B,2.0,A,A,B,C,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,B
210054208012,2021,2,F,1,3,1,2,0,2,1.0,0,2910909.0,Firmino Alves,29.0,BA,2.0,1.0,1.0,2916401,Itapetinga,29,BA,1,1,1,1,909.0,881.0,892.0,899.0,408.0,542.1,446.0,420.5,DCDCECCDDDCBACDCDDBCAECBACADEBDBCBCDDCCCDBDBB,BDDECAECACCCAACAEBDBEDBBBDBDDCACCABDBBDECCBBD,DACAD99999CECDDAADEDCEDECBDCABDBCBAAADCDCDCDBAAEBB,DBCCCCBEBCDACBCCABBACABCCDBCCCCBDBBCBABCDCEBD,0,EDECABEDABCBEBACCDCBBEEBBCBDAAECDCBDCDBBBADCD,BEECCAEABADBCAEBAAEEDDEBBBADBCBAAEEBBBADCCBBA,ABBACAAECACDBDDADEBDDCBDCEDBEDDBBBBDCEEAADABACACDC,EEXEBABDDCECCBCCECDCAEBADEABBDBDEDCEDCCADDCAB,1.0,140.0,160.0,120.0,120.0,140.0,680.0,E,E,C,C,5.0,C,A,B,C,A,A,B,B,A,A,A,A,A,B,B,A,C,A,B,B
